t,dt,step,x,y,z,Gamma_x,Gamma_y,Gamma_z,sigma,U_ref_x,U_ref_y,U_ref_z,Gx_ref_x,Gx_ref_y,Gx_ref_z,Gy_ref_x,Gy_ref_y,Gy_ref_z,Gz_ref_x,Gz_ref_y,Gz_ref_z
0.4722877499999988,0.0034223749999999996,138.0,5.715157313487782,-1.230700467992659,1.8494759188440821,0.0024284745577922056,-0.010883272860589842,0.002439806472991251,0.05752108374140722,-0.49918432598186563,0.30759138105757866,-0.18388865095510512,0.0691857118665951,0.844337131521295,10.677770556514925,-3.3822307874728814,0.8107233589894516,0.6343426171844331,-9.515073979582699,-3.874229518646684,-0.8799090708560472
0.4722877499999988,0.0034223749999999996,138.0,5.712750628899679,-1.210875450224527,1.851307234228534,0.0015609460790624438,-0.006196452860183755,0.0015994520410823514,0.05645370504979427,-0.6065344774786402,0.31106426634161943,-0.19214624619587894,0.21223698951486347,1.328804149499784,13.264391880762195,-4.802969982365848,0.6943464765293291,1.4076941373275653,-11.85741985637007,-4.726317619584899,-0.9065834660441936
0.4722877499999988,0.0034223749999999996,138.0,5.704566405557985,-1.1857030089838703,1.843528686821813,0.0014451606128817406,-0.0054145711523381455,0.001376540712268376,0.05491394308216576,-0.6343182049344495,0.3597006077974935,-0.2643155373328396,0.1099207013744101,1.7775964501580839,16.376866898075033,-5.619151244522653,0.9132814272898995,2.061898683857489,-14.831278442629504,-5.9712752726604,-1.0232021286643085
0.4722877499999988,0.0034223749999999996,138.0,5.70089823685006,-1.1483747400683455,1.829145390195999,0.0016987707763454147,-0.005304337151092396,0.0012183371069326243,0.05254807180730427,-0.6140291565554911,0.5027288087198933,-0.18822379497209457,-0.16677499950767644,2.012582039560413,20.08480228273115,-6.3968527058540445,1.7255242569822768,4.414612661548165,-18.520064251048726,-7.7977022121896,-1.5587492574745985
0.4722877499999988,0.0034223749999999996,138.0,5.691695412157386,-1.0917064187234244,1.8239372380919747,0.002241514699646161,-0.005559636191317071,0.0012281030566035286,0.0490622947214312,-0.9299804183096482,0.6517078208838021,-0.021784868523045273,-0.011201181328128335,1.9002459916346297,23.536608278837488,-8.166088170113593,2.5921104879158254,7.918621364220099,-22.59201560219107,-10.53604408508138,-2.5809093065876954
0.4722877499999988,0.0034223749999999996,138.0,5.643894111901181,-1.007346012106822,1.8110270972992475,0.003180358474600111,-0.006360615149017827,0.0014101600877024717,0.04388963974559354,-1.4227462683332706,1.0253517593657002,-0.3842317207400934,-0.5663103206763977,0.6782088676728482,27.879068334420833,-11.836084419438498,4.259546430603869,13.340853743289,-26.08138850076491,-13.396032794537135,-3.693236109927471
0.4722877499999988,0.0034223749999999996,138.0,5.5216155373296365,-0.8409539549445564,1.7417596257706258,0.004084524598533037,-0.00812111441547694,0.000767052844712023,0.03771806842391294,-2.1697083390615313,2.912085477395404,-1.4149398356243457,4.013071395683654,-10.754214045375498,43.22275755962909,-10.968034161311436,0.961284254121306,6.798927436363955,-45.16344976281909,-24.59478133298354,-4.974355649804968
0.4722877499999988,0.0034223749999999996,138.0,5.501955012533489,-0.7269444103666908,1.7576010472818118,0.0018101231389130912,-0.0027475650988795577,-0.0019184246816778684,0.05646051723796881,-0.9850884911697424,2.836815217654966,-0.9092198932987117,-3.4697617223524313,-18.04628440031451,38.144851301721964,36.73668928893024,-1.3283387081676983,20.04797750362859,-33.88270637207166,-27.340184495493368,4.798100430520131
0.4722877499999988,0.0034223749999999996,138.0,5.483843818993436,-0.7212329266183224,1.7894375661179969,0.0012598237175455236,-0.0017455404223511812,-0.0013861888999379163,0.06694163785811783,-1.7678843434270324,2.307571863318973,-1.332579028047177,-3.674576196830602,-20.99317098449099,36.394836338894365,35.8522923919201,-0.19190063985104994,20.753699872475405,-32.54457559606868,-27.866933818549555,3.866476836681662
0.4722877499999988,0.0034223749999999996,138.0,5.495770532147156,-0.7080756995779687,1.8046680869202634,0.000924484070386777,-0.0011964323352253844,-0.0010052371359225037,0.076788376738195,-1.8118181729830478,1.5801030083127152,-0.5353361930902393,-1.057202988145116,-23.23338350060624,38.626965524878834,36.815216203212074,-2.641671408053761,22.810124124966904,-32.33283270758132,-29.790345755681976,3.698874396198876
0.4722877499999988,0.0034223749999999996,138.0,5.507388352778405,-0.696162348754489,1.8086602010006252,0.0007008501225671548,-0.0008712817141040497,-0.0007630577599091273,0.08577613651053029,-1.4973263351774544,1.147478189549118,0.21008122070205404,0.5166429353538569,-23.265542666514634,38.31640828560486,37.96500620776441,-4.012119897677058,24.2520391921125,-32.428711466139504,-30.549973394966987,3.495476962323205
