t,dt,step,x,y,z,Gamma_x,Gamma_y,Gamma_z,sigma,U_ml_x,U_ml_y,U_ml_z,Gx_ml_x,Gx_ml_y,Gx_ml_z,Gy_ml_x,Gy_ml_y,Gy_ml_z,Gz_ml_x,Gz_ml_y,Gz_ml_z
0.5783813749999981,0.0034223749999999996,169.0,6.994476008097189,-1.2288406919645423,2.367931702914945,-0.017718678321499863,-0.0009391398574939571,0.0021222967480772296,0.06493478267626003,0.02962230145931244,0.013750639744102955,-0.02050510048866272,1.3570036888122559,1.0232197046279907,-0.24027752876281738,-0.017620278522372246,-1.5797607898712158,-0.15704436600208282,-1.9793496131896973,-2.785133123397827,-0.14705240726470947
0.5783813749999981,0.0034223749999999996,169.0,6.988325454187782,-1.2225987282085544,2.369381278234018,-0.00950306720980724,-0.00039075948335458375,0.0007596745054023532,0.065259184919505,0.029310181736946106,0.016791366040706635,-0.026316463947296143,1.3428817987442017,0.9868274331092834,-0.2364823818206787,-0.011694585904479027,-1.5502090454101562,-0.14232663810253143,-1.9358494281768799,-2.775750160217285,-0.16294556856155396
0.5783813749999981,0.0034223749999999996,169.0,6.982457699320984,-1.2165846821474866,2.3691890098174433,-0.0077781885332536835,-0.00027798123539926676,0.000420480885277632,0.06547877185941413,0.029481634497642517,0.018918339163064957,-0.029664665460586548,1.3328837156295776,0.9731675386428833,-0.22594261169433594,-0.012006666511297226,-1.5365076065063477,-0.14110158383846283,-1.9119900465011597,-2.768555164337158,-0.16770952939987183
0.5783813749999981,0.0034223749999999996,169.0,6.9759364542247555,-1.2099601301373817,2.368739656867693,-0.007002570298229328,-0.00022470111529699637,0.0002128311417596513,0.06567746021208763,0.029030635952949524,0.021599728614091873,-0.03351467847824097,1.320669412612915,0.9596415162086487,-0.22421932220458984,-0.01606997475028038,-1.517615795135498,-0.1420278549194336,-1.869499683380127,-2.756592273712158,-0.17566603422164917
0.5783813749999981,0.0034223749999999996,169.0,6.96874064831924,-1.2025720378160063,2.3680289322405756,-0.0065388166413258885,-0.00017859226674070902,1.1881356944909453e-5,0.0659062976862255,0.029378876090049744,0.023933131247758865,-0.037263333797454834,1.3075687885284424,0.9450258612632751,-0.21056485176086426,-0.017064685001969337,-1.5027852058410645,-0.14520879089832306,-1.8392560482025146,-2.7438008785247803,-0.17886781692504883
0.5783813749999981,0.0034223749999999996,169.0,6.960578032707559,-1.1945426252389018,2.36758087686769,-0.00621562514349506,-0.00014978572924541998,-0.00016281660559526158,0.06612130636260917,0.028699353337287903,0.026284411549568176,-0.04111155867576599,1.2934657335281372,0.9272474050521851,-0.21924948692321777,-0.017144037410616875,-1.4818711280822754,-0.1481291502714157,-1.7838531732559204,-2.725499391555786,-0.18718582391738892
0.5783813749999981,0.0034223749999999996,169.0,6.951472416068913,-1.1850122711406454,2.364564403535487,-0.00596903262536624,-0.00014036730532147692,-0.0002796878923662422,0.06629374406175868,0.029740750789642334,0.028422009199857712,-0.045088738203048706,1.2751688957214355,0.913865864276886,-0.20171737670898438,-0.018831845372915268,-1.468299388885498,-0.15275835990905762,-1.7468798160552979,-2.7104265689849854,-0.18479186296463013
0.5783813749999981,0.0034223749999999996,169.0,6.941849235630385,-1.175608927072394,2.3642057616326047,-0.005745651014428433,-0.00012166952183795653,-0.0004373530187238942,0.06651125676363963,0.029199928045272827,0.030341248959302902,-0.04894012212753296,1.2585519552230835,0.8893224596977234,-0.21334242820739746,-0.014319172129034996,-1.4459500312805176,-0.1586851179599762,-1.68446946144104,-2.6841859817504883,-0.19216006994247437
0.5783813749999981,0.0034223749999999996,169.0,6.931528229539217,-1.1654291630745495,2.36362420985445,-0.005529307590501623,-9.738489084843743e-5,-0.000618585157940516,0.06674923457362146,0.028987795114517212,0.03189762309193611,-0.0525757372379303,1.2412829399108887,0.8650125861167908,-0.22258496284484863,-0.007503483444452286,-1.4258241653442383,-0.16584531962871552,-1.6247642040252686,-2.658327102661133,-0.19706487655639648
0.5783813749999981,0.0034223749999999996,169.0,6.920253363909898,-1.1546232713867868,2.3635324011403704,-0.00531239336183769,-7.506253936330069e-5,-0.0007917458949457666,0.06699549389317806,0.02914862334728241,0.0332760363817215,-0.05652046203613281,1.221635341644287,0.8335960507392883,-0.22883272171020508,0.0033116634003818035,-1.4035332202911377,-0.17707164585590363,-1.5625766515731812,-2.6237587928771973,-0.20163673162460327
0.5783813749999981,0.0034223749999999996,169.0,6.908186416295482,-1.1431965725327626,2.3637293331636666,-0.00509880146011333,-6.342009761531505e-5,-0.0009354527256191382,0.06720583709810808,0.0286264568567276,0.033890530467033386,-0.05955734848976135,1.203639268875122,0.8020065426826477,-0.2567636966705322,0.016446910798549652,-1.380852222442627,-0.185542032122612,-1.4881305694580078,-2.5876786708831787,-0.20803755521774292
0.5783813749999981,0.0034223749999999996,169.0,6.89538438481506,-1.1306490269631677,2.3635114812067095,-0.004904790467922454,-6.210734008158593e-5,-0.0009941546245946825,0.06733109589643953,0.02870956063270569,0.03418681398034096,-0.0616111159324646,1.1916780471801758,0.7888115048408508,-0.2809176445007324,0.022658906877040863,-1.3660049438476562,-0.1918763816356659,-1.437237024307251,-2.565035343170166,-0.2121397852897644
0.5783813749999981,0.0034223749999999996,169.0,6.881735649860528,-1.1171036043019307,2.3635463433090425,-0.004720177316485451,-6.666658930689575e-5,-0.0009908234831377794,0.067411401689508,0.029649823904037476,0.033455219119787216,-0.06207728385925293,1.189784049987793,0.7903143763542175,-0.29815006256103516,0.0295792855322361,-1.3655712604522705,-0.1939568817615509,-1.428554892539978,-2.5543508529663086,-0.2105424404144287
0.5783813749999981,0.0034223749999999996,169.0,6.867194568385303,-1.1026592123404924,2.3635950147829203,-0.004513747297348726,-5.749679109781086e-5,-0.0010202864911274768,0.06751859785656923,0.029754221439361572,0.03335249423980713,-0.06307286024093628,1.1846368312835693,0.7907264232635498,-0.32441163063049316,0.030989188700914383,-1.3573472499847412,-0.1959509700536728,-1.3979703187942505,-2.541766405105591,-0.21388453245162964
0.5783813749999981,0.0034223749999999996,169.0,6.851841246789931,-1.0875548751976263,2.3636638747862966,-0.00430973330103006,-5.968636895143671e-5,-0.0010083639269380927,0.06759094958927014,0.029980912804603577,0.03273782134056091,-0.06333985924720764,1.1811469793319702,0.7886773347854614,-0.34636640548706055,0.03783026337623596,-1.3557875156402588,-0.19840864837169647,-1.3785078525543213,-2.5298120975494385,-0.21258366107940674
