step,time,baseline_particles,surrogate_particles,particle_count_delta,position_rmse,position_rel_l2,position_max_abs,gamma_rmse,gamma_rel_l2,gamma_max_abs,sigma_rmse,sigma_rel_l2,sigma_max_abs
31,0.10609362500000004,5785,3411,-2374,0.06954879392178523,0.056962208787392,0.2296005560732901,0.028596094408024103,2.6283150181636588,0.19613418997156473,0.002871639514689285,0.04274364952585607,0.013082520435546578
32,0.10951600000000004,5886,3512,-2374,0.07169712216080676,0.05812549634553645,0.2344412764683617,0.028026221727259677,2.5988319461694926,0.19759650450645003,0.0029574811959864845,0.04404955625779704,0.013516623150092819
33,0.11293837500000005,5997,3613,-2384,0.07378051703949541,0.05923222831642474,0.23975312474920116,0.028042847166213514,2.6252874934657324,0.19892120036774485,0.003036141756575963,0.04524759044391076,0.013935979199477574
34,0.11636075000000005,6098,3714,-2384,0.07590779697267659,0.06033652823786879,0.24724251905910324,0.02835406994075866,2.6772303297417026,0.20008043279438145,0.0031141560346818345,0.046437917920827694,0.014308545238631981
35,0.11978312500000006,6199,3815,-2384,0.07802966057025659,0.0614163637444537,0.25365392116465224,0.028202826457774263,2.685483247644754,0.20106552664606386,0.0031924148092806613,0.04763218411014403,0.014700800166195196
36,0.12320550000000006,6300,3916,-2384,0.08013888930666486,0.06246669789872003,0.25655961176797565,0.02794936300810535,2.683539730634303,0.20187232563104154,0.003267726571100742,0.04878266070419791,0.015080569537949902
37,0.12662787500000006,6401,4017,-2384,0.08222682709386897,0.06348159300203383,0.2608338690810482,0.0276469024570912,2.6763242247823342,0.18251567019894566,0.0033413480382350302,0.04990808181673627,0.015448326586956322
38,0.13005025000000006,6502,4118,-2384,0.08429796167222166,0.06446540542141471,0.26690596464677696,0.027590394757979184,2.6925217409691404,0.18369027485740835,0.0034117709584519846,0.05098594995442914,0.015757072363649066
39,0.13347262500000007,6603,4219,-2384,0.08635156960015332,0.06541840205269284,0.27413945587329747,0.027000938276564083,2.6561006114694212,0.184785953352444,0.0034797497999026895,0.0520275615627697,0.016087241127664326
40,0.13689500000000007,6704,4320,-2384,0.08838151986817673,0.06633680319435667,0.2858766928197183,0.026686670783376734,2.645950644810478,0.18579087849509357,0.0035465690738772605,0.053052166199044765,0.01642008254535035
41,0.14031737500000008,6805,4421,-2384,0.09037660967853556,0.06721321937665141,0.2862511897828979,0.026659938601996638,2.6639600975255946,0.18669595954262322,0.0036105012355529932,0.0540339616065661,0.01674245740289522
42,0.14373975000000008,6906,4522,-2384,0.09234492986278789,0.0680547680671524,0.29367596136258806,0.026796218035592942,2.6982658799526535,0.18749001487703149,0.003674508974996935,0.05501730912244846,0.017054374345898467
43,0.1471621250000001,7007,4623,-2384,0.09428161575557596,0.06885886848210018,0.30032728554552784,0.027385871655691854,2.7787093249274175,0.16101427137394225,0.0037363097750646975,0.05596807567494778,0.017356340990453044
44,0.1505845000000001,7108,4724,-2384,0.09618648845761875,0.06962643660970359,0.3038776631489855,0.027592073976334713,2.8207838632196527,0.16191001656910334,0.003799084626905921,0.056933959738677556,0.017753640293741033
45,0.1540068750000001,7209,4825,-2384,0.09805815065318475,0.07035749350521435,0.3073616814902542,0.02764685698806214,2.8475094297802332,0.16278849312073196,0.00386054950051926,0.05788077580201073,0.01825939865662308
46,0.1574292500000001,7310,4926,-2384,0.09990129789389814,0.07105639866221132,0.31366453239328423,0.027441807867585422,2.8472882139247604,0.16363321235175388,0.003917114459186918,0.058754658928739725,0.018550138390756234
47,0.1608516250000001,7411,5027,-2384,0.10171534147998526,0.07172363585383612,0.31869207427901086,0.02740051639921255,2.86379774733052,0.1644263853879156,0.003973680105357919,0.059629052686020756,0.018832233318594085
48,0.16427400000000011,7512,5128,-2384,0.10350165969563377,0.07236104283677416,0.3230366389000803,0.02737203997940488,2.8815187960424975,0.16516189781996946,0.004026956671419791,0.06045456529884544,0.019105932493193103
49,0.16769637500000012,7613,5229,-2384,0.10525737507824448,0.07296743804378909,0.32805984931885085,0.02704294579141605,2.867247892960496,0.15914923289481644,0.004080473366194662,0.06128413029870226,0.01937147449811668
50,0.17111875000000012,7714,5330,-2384,0.10698393047846758,0.07354463740020438,0.3373122018759168,0.02684145814323375,2.8660292736818564,0.1590645073430707,0.004133611161699033,0.06210843113787429,0.019629162232350512
51,0.17454112500000013,7815,5431,-2384,0.10868305852319557,0.07409457907033404,0.34615510566294283,0.02688539377310426,2.8908172083085804,0.15904706454886944,0.004188301480729298,0.06295646229650549,0.019879290032533005
52,0.17796350000000014,7916,5532,-2384,0.11035307261514228,0.07461681137033331,0.35040161207819387,0.026923877030808615,2.914998406387574,0.16906887045019162,0.004240002619811787,0.06375991471768906,0.020122120836498718
53,0.18138587500000014,8017,5633,-2384,0.11199297321262101,0.0751113418629021,0.35544056797123513,0.026731056368044466,2.913937616993236,0.16874460279854864,0.004290904409269177,0.06455163288933093,0.020357969314273215
54,0.18480825000000015,8118,5734,-2384,0.11360335035045471,0.07557921894235829,0.3557671652283068,0.026622428185337492,2.921741924059066,0.16843619858770012,0.00434256412356853,0.0653549866635364,0.020587096523113545
55,0.18823062500000015,8219,5835,-2384,0.11518500087167795,0.07602158170719438,0.36401757461343587,0.027019214344478487,2.9851324123107044,0.16814478913643496,0.00439284065915561,0.06613770476034118,0.020809845208562286
56,0.19165300000000016,8320,5936,-2384,0.11673938296677104,0.07643995445169166,0.36441815928013005,0.02699870236721594,3.0025975219747223,0.16787354710702782,0.004443434091016014,0.06692531798441007,0.02102645840829369
57,0.19507537500000016,8421,6037,-2384,0.11826889992997208,0.07683642138897916,0.37275957339650295,0.027279746102339675,3.0536866296841327,0.16766690649764715,0.004492767883425791,0.06769403963736616,0.021295817061323927
58,0.19849775000000017,8522,6138,-2384,0.1197777858041311,0.07721417810246156,0.3749335406549505,0.027254331054063254,3.0705507494726367,0.16747791705230192,0.004544203611870927,0.06849447864453459,0.021570846740917124
59,0.20192012500000017,8623,6239,-2384,0.12126579902025575,0.07757345747833046,0.3841367394490206,0.027135214791418154,3.0766494352401628,0.1673666850691854,0.004590030557071104,0.06921037385045739,0.021840516793781253
60,0.20534250000000018,8724,6340,-2384,0.12273270553352103,0.07791449278253579,0.39457141892106545,0.026925103791671873,3.0720910618012174,0.16727854374532442,0.0046407872382806985,0.0700005608164832,0.022105467085860163
61,0.20876487500000018,8825,6441,-2384,0.12418150965627817,0.07823955266998532,0.3949190678966338,0.02656959226885835,3.0504400262211226,0.1672821759862692,0.004691780440510566,0.0707942709201676,0.022365728831706892
62,0.2121872500000002,8926,6542,-2384,0.12560916802017305,0.07854706201049741,0.4052607340146949,0.026375089204532756,3.046794094785132,0.16730283594064907,0.004741158381040567,0.07156352624933474,0.022621721553059165
63,0.2156096250000002,9027,6643,-2384,0.12701901439619245,0.07883945711016957,0.40567920042911015,0.0265076296473936,3.0808015599132177,0.1673849697788519,0.004789446058460945,0.07231619681500051,0.022873800982198614
64,0.2190320000000002,9128,6744,-2384,0.1284109399823799,0.07911698912839964,0.4158732851545706,0.026395846800977868,3.0863533667567316,0.16745595030615165,0.004837913965954152,0.07307143537672466,0.023122566619416925
65,0.2224543750000002,9229,6845,-2384,0.12978582676390013,0.07938051830924976,0.41642564524123576,0.026292688285593533,3.092695088082946,0.1675788033383915,0.004887302237255779,0.07384041214526496,0.02336826793938753
66,0.2258767500000002,9330,6946,-2384,0.1311443705114336,0.07963077668095275,0.4168280330742481,0.026322372140189232,3.1145559091056567,0.16768941851806118,0.00493531226964771,0.07458839165377439,0.02361145284535509
67,0.22929912500000021,9431,7047,-2384,0.1324879970891431,0.07986892540136936,0.4221527331318129,0.026403283415464822,3.1425080496304982,0.16781605918602496,0.004983624823256613,0.07534077065016105,0.023852489689021712
68,0.23272150000000022,9532,7148,-2384,0.13381827731325124,0.08009619045606263,0.4284419999247463,0.026603561636022923,3.184823984471156,0.16961678707511174,0.005032596159031259,0.07610295473550396,0.02409193463226493
69,0.23614387500000023,9633,7249,-2384,0.13513513109503056,0.08031279271591812,0.42892351352496894,0.026628166805253213,3.2062382836397463,0.16974412231280847,0.005080577535437256,0.07685003557038056,0.02433018999067607
70,0.23956625000000023,9734,7350,-2384,0.13643929330793925,0.0805194356724289,0.4383672485466701,0.02657759322188006,3.2185605277156344,0.16985314030953952,0.005126956385866906,0.07757275881647084,0.024567757037943463
71,0.24298862500000024,9835,7451,-2384,0.13773328897507314,0.08071785898228975,0.44392166453997506,0.026715455059193677,3.2537511250530935,0.1699408311474456,0.0051731198989554954,0.0782921259881128,0.02480489388219253
72,0.24641100000000024,9936,7552,-2384,0.13901651036623391,0.0809079338675017,0.451053482321104,0.026834957090231624,3.2868765637417527,0.1699974697950412,0.005218341434055041,0.07899716007166054,0.025041913602548926
73,0.24983337500000025,10037,7653,-2384,0.1402889736442494,0.08108989324078704,0.45138407490221755,0.026917200691448543,3.315574389410367,0.17002435852161069,0.005265037516867946,0.07972445473066749,0.0252789580875036
74,0.2532557500000002,10138,7754,-2384,0.14155056672831243,0.08126388278217173,0.4632007797279106,0.02686678195299585,3.3279543371307083,0.17002794311563774,0.00530986913725818,0.08042346258169718,0.025516626741905767
75,0.2566781250000002,10239,7855,-2384,0.1428015092709601,0.08143022320642374,0.4636400999616058,0.026821729255234024,3.340939433803271,0.17000074893162176,0.005354331263753587,0.0811167995864617,0.02575495367621538
76,0.2601005000000002,10340,7956,-2384,0.14404045004957713,0.08158832254779153,0.4703565518810272,0.026742416343462944,3.349579789345003,0.1699570395663741,0.005401262057754013,0.08184745287458939,0.02599420527553936
77,0.26352287500000016,10441,8057,-2384,0.1452692274800814,0.08173938377270597,0.47625853178833644,0.02647528618479259,3.334468135037336,0.16989308228172173,0.005444414836918902,0.0825207391087905,0.026234084308035574
78,0.26694525000000013,10542,8158,-2384,0.14648671284554984,0.0818829033952504,0.4767671808491931,0.02617426337365308,3.3147086890364577,0.16981081316565044,0.005490685652905657,0.08324113472664305,0.026474476241908185
79,0.2703676250000001,10643,8259,-2384,0.14769595568922217,0.08202069744649564,0.48373762500453954,0.026126379381011665,3.32678050847451,0.16969354075141418,0.005533359301108468,0.08390681518438318,0.026715083483563946
80,0.2737900000000001,10744,8360,-2384,0.1488964945633838,0.08215258386119793,0.484276302551391,0.026027792645018696,3.332310147876668,0.16957234927753737,0.005578291477010468,0.08460652967061681,0.026955734406712728
81,0.27721237500000007,10845,8461,-2384,0.15009103886117883,0.08228011300686162,0.49088855182622515,0.02611430180379653,3.361537431358056,0.16945711847499204,0.0056202527040467775,0.08526094127007959,0.027195923405676184
82,0.28063475000000004,10946,8562,-2384,0.15127968842171113,0.08240336746116149,0.49680787371482293,0.026196279343434836,3.390306063182218,0.16935130568141132,0.005666176566072414,0.08597519972084454,0.027435274330940874
83,0.284057125,11047,8663,-2384,0.15246364517685618,0.08252301969155963,0.49732009651401166,0.02618800520949721,3.40745384072749,0.16926384510237627,0.00571165520515478,0.08668242792340516,0.027673201075896117
84,0.2874795,11148,8764,-2384,0.15364436910939402,0.0826398617931058,0.5103449529844989,0.026343504344341472,3.4460173939566165,0.16919801976089657,0.005751980962721645,0.0873111325378343,0.02790903902159564
85,0.290901875,11249,8865,-2384,0.15482073151999096,0.08275328342566807,0.5109404101403877,0.026423576010591043,3.4748786871043817,0.16948603357603417,0.005793852869760944,0.08796294828492557,0.02814207001997101
86,0.29432424999999995,11350,8966,-2384,0.1559940807198032,0.08286400658148665,0.5114453855770298,0.026553232268783953,3.510406994130213,0.16947324939494315,0.005835184377780766,0.08860617796461988,0.02837163346715845
87,0.29774662499999993,11451,9067,-2384,0.15716467630795797,0.0829721637557987,0.517642388018635,0.026453635188065237,3.515652170865058,0.16949285249001583,0.0058829964021926764,0.08934742499613915,0.028596897637509812
88,0.3011689999999999,11552,9168,-2384,0.15833184624742086,0.08307740095930927,0.5255996220608672,0.026427673080231893,3.5306028600449437,0.16954412682857964,0.0059235727426247935,0.08997837300197013,0.0288410994316054
89,0.3045913749999999,11653,9269,-2384,0.1594943847915714,0.08317910155974004,0.5261588423947784,0.026366420202496216,3.540786389708845,0.16962688663339381,0.005963903727222599,0.09060514918987429,0.029097302854098533
90,0.30801374999999986,11754,9370,-2384,0.16065024748346216,0.08327623672526371,0.5336888750483734,0.02630227756377654,3.550509356403305,0.16973984613102255,0.006010380418334601,0.09132488417229437,0.029351309451010346
91,0.31143612499999984,11855,9471,-2384,0.16179899084622582,0.08336863717479435,0.5342691928344326,0.0261087393973431,3.5426103846931287,0.1698765709888194,0.006050278845178744,0.0919442620802081,0.029602086767831083
92,0.3148584999999998,11956,9572,-2384,0.16293965618111989,0.08345588232728593,0.5412539974630926,0.026027261685308462,3.5497587288091768,0.17002265819547635,0.006092533083080233,0.09259902525051943,0.029848616907073543
93,0.3182808749999998,12057,9673,-2384,0.16407046229003516,0.08353715372681235,0.5495991494320632,0.026119970948550824,3.5807079168761913,0.17018252976637693,0.006133869376146241,0.0932394321150285,0.030090090047688325
94,0.3217032499999998,12158,9774,-2384,0.16519234485655412,0.08361303664427089,0.5503918279915856,0.02611578700322647,3.5984770656511254,0.17034684183295093,0.006173945533038694,0.09386028930027952,0.030325691860852058
95,0.32512562499999975,12259,9875,-2384,0.16630366055788895,0.08368281382409361,0.5511242687379538,0.02610677189961649,3.615616380011063,0.17050799702662015,0.00621429188089924,0.09448488032220843,0.030554615069176796
96,0.32854799999999973,12360,9976,-2384,0.16740425854396784,0.08374654027931126,0.554731806706883,0.026198125278431423,3.6467578548330883,0.17065983989764533,0.006252910795824583,0.09508285149890237,0.030776123043115125
97,0.3319703749999997,12461,10077,-2384,0.1684955176961365,0.08380503798930865,0.5607196455133129,0.02631650474116513,3.681856758827632,0.17080170262778818,0.006291905960596691,0.09568621587244573,0.03098970593998992
98,0.3353927499999997,12562,10178,-2384,0.1695768887349444,0.08385816032015182,0.5764018950889185,0.02654157218382142,3.7321752460719866,0.17092609963321342,0.006327402433113875,0.09623606582698517,0.031194881865529496
99,0.33881512499999966,12663,10279,-2384,0.1706480318655675,0.08390587046541448,0.577323609382792,0.02678305205337749,3.785181653545359,0.17103366710399945,0.006367037249652246,0.0968485774959576,0.03139130835968477
100,0.34223749999999964,12764,10380,-2384,0.1717109646444965,0.0839492843151758,0.5781910056850917,0.026861109373740956,3.815365326085505,0.17111755102564383,0.006402829748792314,0.09740238710992605,0.03157904784295081
101,0.3456598749999996,12865,10481,-2384,0.1727657246246566,0.08398852698673864,0.5867176141865958,0.02699902539625032,3.8542479824517715,0.1711788805787418,0.0064409487209863186,0.09799134975300575,0.03175820227262027
102,0.3490822499999996,12966,10582,-2384,0.1738127646358276,0.08402391713119062,0.5876068320107842,0.027116361965676412,3.8904178218690135,0.17121746577453317,0.006474862730209183,0.09851611234909045,0.0319290286347342
103,0.35250462499999957,13067,10683,-2384,0.17485407617455326,0.08405649750512932,0.5943344468763397,0.027315830938125767,3.938635729596629,0.17143591605743913,0.006509927611184964,0.09905816331512123,0.03209195507929847
104,0.35592699999999955,13168,10784,-2384,0.17589026487721124,0.08408661522156341,0.5952522086215583,0.027222672071680182,3.9447677217534562,0.17202865557060587,0.006546318174577313,0.09962017673083731,0.032247501419608054
105,0.3593493749999995,13269,10885,-2384,0.17692164617271494,0.0841144598823108,0.5974579469584093,0.02715110958367523,3.9539370308345907,0.17262504091577296,0.006587139222977116,0.10024941204457619,0.03239625697420624
106,0.3627717499999995,13370,10986,-2384,0.17794888901757938,0.08414037326783129,0.5991822959260618,0.02725105558812073,3.988121611545341,0.17322556842425732,0.006620903253083411,0.10077104275587784,0.03253886250461627
107,0.3661941249999995,13471,11087,-2384,0.17897143772281746,0.08416410189468738,0.6089210187629703,0.02720786912979734,4.0014104265809465,0.1738293505316115,0.006657927688894014,0.10134208331569462,0.032676009864654146
108,0.36961649999999946,13572,11188,-2384,0.17998896335487408,0.08418549346504609,0.6155734310694205,0.027034933254573353,3.995466834300072,0.17457418114184858,0.006693654905138227,0.10189315665220425,0.03277094029661404
109,0.37303887499999944,13673,11289,-2384,0.18100072883545987,0.08420420132477695,0.6169455402423253,0.02679813554515786,3.9797869839702504,0.1750582740483064,0.006726400025780086,0.10239859741281174,0.032898486884301865
110,0.3764612499999994,13774,11390,-2384,0.1820068768795528,0.08422028935551118,0.6213559237153352,0.026647753173729916,3.976651693639105,0.17566277909123387,0.006753670698053692,0.10282043078170769,0.03302206779276982
111,0.3798836249999994,13875,11491,-2384,0.18300683161609033,0.08423348520098248,0.6226220470521368,0.026635852734719113,3.9940463728895903,0.17627890457669637,0.006786943953031645,0.10333336939343331,0.033142023297196704
112,0.38330599999999937,13976,11592,-2384,0.1839991502796856,0.08424312466959247,0.6297776018534051,0.026577989150404706,4.004474533984366,0.17689876703245652,0.006823075930380274,0.10388953479606128,0.033258418728383116
113,0.38672837499999935,14077,11693,-2384,0.18498330446100225,0.08424897634236284,0.6309557375457033,0.026639416605088513,4.032855920937802,0.17751760505389988,0.006854684861054396,0.10437649915895944,0.03337140859888386
114,0.3901507499999993,14178,11794,-2384,0.18595945352251916,0.08425112853539866,0.6355371674192325,0.02670015796317242,4.061200767459981,0.1781486962498196,0.006887350788501304,0.10487919797672227,0.03348100360426984
115,0.3935731249999993,14279,11895,-2384,0.18692758460365086,0.08424959656686488,0.6503550067382953,0.02682858234458864,4.099954369598831,0.17878263092730787,0.0069199606351510075,0.10538065085221797,0.033587033425312295
116,0.3969954999999993,14380,11996,-2384,0.18788843769757618,0.08424473856429703,0.6557197639272632,0.026657720758013703,4.092926635629352,0.17942030382083382,0.006945841333587977,0.1057791974756102,0.03368926483368914
117,0.40041787499999926,14481,12097,-2384,0.1888424766519991,0.08423678940583137,0.6629893061770498,0.026697393710187128,4.1181256199950225,0.1801186680136093,0.006969878494561667,0.10614920053173242,0.03378743151345472
118,0.40384024999999923,14582,12198,-2384,0.18978979113466798,0.08422582086096297,0.6649262004305274,0.026698078320472586,4.137339708801459,0.180817358953919,0.006998776954442899,0.10659274083506604,0.03388107165760829
119,0.4072626249999992,14683,12299,-2384,0.19072969170922344,0.08421156743083046,0.6699704063996066,0.02678082564269296,4.169342691701524,0.18151549631334854,0.007023387567957446,0.10697045785447434,0.03396990352551892
120,0.4106849999999992,14784,12400,-2384,0.19166418395954818,0.08419495917078075,0.671073965666886,0.02674349440892372,4.182706542736986,0.18221255803572226,0.0070513227332973764,0.107398289175063,0.03405355669869344
121,0.41410737499999917,14885,12501,-2384,0.19259308606521236,0.08417595765094038,0.6721428164993846,0.026688620598068192,4.193295707255204,0.18290606424646208,0.007075120778263259,0.10776257896497161,0.034131550365344925
122,0.41752974999999914,14986,12602,-2384,0.19351693766612071,0.08415484591899741,0.677776947695842,0.026669197714023762,4.209446369037992,0.18359577096065388,0.00710438006657802,0.10820953222944092,0.034203409045255234
123,0.4209521249999991,15087,12703,-2384,0.1944360448669005,0.08413180577583815,0.6866068927971019,0.02666414317242578,4.227901037066125,0.1842850530169055,0.0071313026190242485,0.10862039669754134,0.03477867077006654
124,0.4243744999999991,15188,12804,-2384,0.1953500232653588,0.08410672288318391,0.6877170017619987,0.02673610878794461,4.258675084704922,0.1849742570497654,0.007152735863833758,0.10894719360970123,0.035488700912315874
125,0.4277968749999991,15289,12905,-2384,0.196259560530889,0.08407994751287298,0.6887992049354483,0.02682289004279211,4.291993142881375,0.18566108960830457,0.007177689690570573,0.10932720797623266,0.03619057384897947
126,0.43121924999999905,15390,13006,-2384,0.19716582063837218,0.08405202918703496,0.7065218889768281,0.02689343121779511,4.322894627013859,0.18634531208389396,0.007200166859873575,0.10966914574513843,0.036887500502711765
127,0.43464162499999903,15491,13107,-2384,0.19806751266695172,0.08402246612502907,0.7085184742688484,0.027043723803395276,4.366850680743213,0.18701839500736586,0.0072234975268961965,0.11002378634448559,0.03757559975494196
128,0.438063999999999,15592,13208,-2384,0.19896503915773944,0.08399148105542345,0.7104927441861404,0.027159079270264924,4.405432382890719,0.18769097207317975,0.007244890154291924,0.11034867306357321,0.03825186028224265
129,0.441486374999999,15693,13309,-2384,0.19985793697801513,0.08395892609639068,0.7167431106313182,0.027269254137206083,4.443411656618501,0.1883596383504211,0.0072623852162947795,0.11061401640582408,0.038914303041547235
130,0.44490874999999896,15794,13410,-2384,0.2007462475606895,0.08392486215876808,0.720748975079389,0.027122865266594128,4.439630103564859,0.18902646800090026,0.007285214547059952,0.11096047466035286,0.039561945728565535
131,0.44833112499999894,15895,13511,-2384,0.2016311481086194,0.08388981506890623,0.7225960124843291,0.027112964513603,4.458137529289635,0.18969168709297735,0.00730834179006917,0.11131138077400897,0.04023566198544562
132,0.4517534999999989,15996,13612,-2384,0.20251325902473494,0.08385406230623313,0.726654609018212,0.027228709067036765,4.497443622174122,0.19035216740313682,0.007329784560128954,0.11163657100992096,0.04085427629919346
133,0.4551758749999989,16097,13713,-2384,0.2033916057453244,0.083817211165008,0.7284282597135094,0.02726552627327947,4.523876653494505,0.1910098338559919,0.007350134771441473,0.11194508840801581,0.041459987624689026
134,0.4585982499999989,16198,13814,-2384,0.2042664778582992,0.0837793853681588,0.7354727421034579,0.027303018697426608,4.550525001561652,0.19166290010353018,0.007371897679826015,0.11227510967095074,0.04205478520625987
135,0.46202062499999885,16299,13915,-2384,0.20513845113379423,0.08374081620938967,0.7516083361896768,0.02732320185379404,4.574381336496142,0.19231369083454683,0.007393576280645359,0.11260385566763086,0.04266558503061982
